nfl_player_id,nfl_last_name,nfl_player_name,nfl_full_name,nfl_first_name,nfl_position,first_season,nfl_height,nfl_weight,nfl_forty,nfl_bench,nfl_vertical,nfl_broad_jump,nfl_cone,nfl_shuttle,epa_per_play_career,target_share_career,ppr_points_career,ppr_ppg_career,epa_per_play_year_1,target_share_year_1,ppr_points_year_1,ppr_ppg_year_1,epa_per_play_year_2,target_share_year_2,ppr_points_year_2,ppr_ppg_year_2,epa_per_play_first_2,target_share_first_2,ppr_points_first_2,ppr_ppg_first_2,epa_per_play_first_3,target_share_first_3,ppr_points_first_3,ppr_ppg_first_3,epa_per_play_first_4,target_share_first_4,ppr_points_first_4,ppr_ppg_first_4,top_5_finishes,top_12_finishes,top_24_finishes,top_36_finishes
00-0038632,Dowell,C.Dowell,Colton Dowell,Colton,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.004424778761061947,1.3,0.15000000000000002,0,0.004424778761061947,1.3,0.15000000000000002,NA,NA,NA,NA,0,0.004424778761061947,1.3,0.15000000000000002,0,0.004424778761061947,1.3,0.15000000000000002,0,0.004424778761061947,1.3,0.15000000000000002,NA,NA,NA,NA
00-0038636,McIntosh,NA,Kenny McIntosh,Kenny,RB,2023,6-0,204,4.62,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038637,Duggan,NA,Max Duggan,Max,QB,2023,6-2,207,4.52,NA,30.5,116,7.26,4.45,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038638,Parish,NA,Derek Parish,Derek,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038640,Brooks,J.Brooks,Jalen Brooks,Jalen,WR,2023,6-1,201,4.69,NA,35,130,7.15,4.31,0,0.008849557522123894,11.3,3.1500000000000004,0,0.008849557522123894,11.3,3.1500000000000004,NA,NA,NA,NA,0,0.008849557522123894,11.3,3.1500000000000004,0,0.008849557522123894,11.3,3.1500000000000004,0,0.008849557522123894,11.3,3.1500000000000004,NA,NA,NA,NA
00-0038643,Willis,NA,Brayden Willis,Brayden,TE,2023,6-4,241,NA,20,32,117,7.3,4.36,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038647,Bell,R.Bell,Ronnie Bell,Ronnie,WR,2023,6-0,191,4.54,14,38.5,120,6.98,4.15,0,0.017937219730941704,23.3,2.6142857142857143,0,0.017937219730941704,23.3,2.6142857142857143,NA,NA,NA,NA,0,0.017937219730941704,23.3,2.6142857142857143,0,0.017937219730941704,23.3,2.6142857142857143,0,0.017937219730941704,23.3,2.6142857142857143,NA,NA,NA,NA
00-0038651,Cota,NA,Chase Cota,Chase,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038656,Ibrahim,NA,Mohamed Ibrahim,Mohamed,RB,2023,5-8,203,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038658,Martinez,NA,Adrian Martinez,Adrian,QB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038667,Cooks,E.Cooks,Elijah Cooks,Elijah,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.007067137809187279,6.800000000000001,1.9000000000000001,0,0.007067137809187279,6.800000000000001,1.9000000000000001,NA,NA,NA,NA,0,0.007067137809187279,6.800000000000001,1.9000000000000001,0,0.007067137809187279,6.800000000000001,1.9000000000000001,0,0.007067137809187279,6.800000000000001,1.9000000000000001,NA,NA,NA,NA
00-0038671,Jenkins,NA,Jaray Jenkins,Jaray,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038672,Martin,NA,Oliver Martin,Oliver,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038673,Taylor,NA,Leonard Taylor,Leonard,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038678,Mims,NA,Jordan Mims,Jordan,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038679,Shavers,NA,Tyrell Shavers,Tyrell,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038680,Thompson,NA,Bryan Thompson,Bryan,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038681,Wayne,NA,Jalen Wayne,Jalen,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038683,Blackman,NA,James Blackman,James,QB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038685,Brooks,C.Brooks,Chris Brooks,Christopher,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.600000000000001,3.5333333333333337,0,0,10.600000000000001,3.5333333333333337,NA,NA,NA,NA,0,0,10.600000000000001,3.5333333333333337,0,0,10.600000000000001,3.5333333333333337,0,0,10.600000000000001,3.5333333333333337,NA,NA,NA,NA
00-0038687,Coleman,NA,Chris Coleman,Chris,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038688,Davis,NA,Daewood Davis,Daewood,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
