year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,2,5,20,New Mexico,Montana State,0.8418673,0.1581327,0,1,0.4807678163051605,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,3,4,19,New Mexico,Montana State,0.8213891,0.1786109,1,0,0.7859981060028076,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,2,17,New Mexico,Montana State,0.8649935,0.1350065,1,0,0.4214491844177246,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,1,16,New Mexico,Montana State,0.8612342,0.1387658,0,1,0.49026861786842346,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,1,16,New Mexico,Montana State,0.8856125,0.1143875,1,0,0.43951910734176636,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,0,15,New Mexico,Montana State,0.8964292,0.1035708,0,1,0.3103981912136078,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,0,15,New Mexico,Montana State,0.8965724,0.1034276,1,0,0.4605739414691925,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,14,14,New Mexico,Montana State,0.9054429,0.0945571,1,0,0.39746543765068054,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,14,14,New Mexico,Montana State,0.9111011,0.0888989,0,1,0.328901082277298,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,13,13,New Mexico,Montana State,0.9071566,0.0928434,1,0,0.6206691265106201,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,10,10,New Mexico,Montana State,0.859107,0.140893,0,1,0.40516775846481323,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,10,10,New Mexico,Montana State,0.8358004,0.1641996,1,0,0.6564816236495972,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,3,9,9,New Mexico,Montana State,0.8348577,0.1651423,1,0,0.8267401456832886,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,4,4,New Mexico,Montana State,0.645669,0.354331,1,0,0.41567981243133545,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,4,4,New Mexico,Montana State,0.6386544,0.3613456,0,1,0.5083938241004944,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
