year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,2,10,25,SMU,Nevada,0.5138975,0.4861025,1,0,0.6234049201011658,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,10,25,SMU,Nevada,0.4681774,0.5318226,1,0,0.6739974617958069,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,8,23,Nevada,SMU,0.5429252,0.4570748,1,0,0.43067967891693115,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,8,23,Nevada,SMU,0.480784,0.519216,0,1,0.625552773475647,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,8,23,Nevada,SMU,0.5819278,0.4180722,0,1,0.44345802068710327,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,8,23,Nevada,SMU,0.5616588,0.4383412,0,1,0.5493443608283997,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,8,23,Nevada,SMU,0.5331484,0.4668516,1,0,0.8152750730514526,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,4,19,SMU,Nevada,0.5020321,0.4979679,1,0,0.38554951548576355,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,4,19,SMU,Nevada,0.5699323,0.4300677,0,1,0.2507310211658478,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,4,19,SMU,Nevada,0.5599776,0.4400224,0,1,0.4288361370563507,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
