athlete_id,Player,Team,Conference,Power 5,Position,Final Season,Class,Final Year out of HS,Final Year Played,Height,Weight,Stars,Games Played,Standard Points,Half PPR Points,PPR Points,Reception MS,Rec Yds MS,Rec TD MS,Rec Yds Per Team Pass Att,TD Per Team Pass Att,Weighted Dominator Rating,Dominator Rating,Adjusted Yds Per Team Play,Scrimmage Yds Per Team Play,Scrimmage TD Per Team Play,Scrimmage Yds Per Team Pass Attempt,EPA Per Play,Total EPA,Yards Per Rec,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Reception MS (Games Played),Rec Yds MS (Games Played),Rec TD MS (Games Played),Rec Yds Per Team Pass Att (Games Played),TD Per Team Pass Att (Games Played),Weighted Dominator Rating (Games Played),Dominator Rating (Games Played),Adjusted Yds Per Team Play (Games Played),Scrimmage Yds Per Team Play (Games Played),Scrimmage TD Per Team Play (Games Played),Scrimmage Yds Per Team Pass Attempt (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
232120,Rob Gronkowski,Arizona,Pac-10,N,TE,2008,2010,2,2,78,265,4,1,107.85,126.6,145.35,0.13,0.17,0.32,1.31,0.02,0.2,0.24,1.35,0.68,0.01,1.31,NA,NA,16.52,0,0,0,0,0,0,0,0,37.5,598.5,8,0,0,0,0,0,0,127.2,150.7,174.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,47,672,10,0,0,0,0,0,0,NA,NA,4.68,23,NA,NA,NA,NA,NA,NA,NA,6,8,9,11.2,1,Rob Gronkowski | Arizona,https://a.espncdn.com/i/headshots/college-football/players/full/232120.png,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
188942,Jermaine Gresham,Oklahoma,Big 12,Y,TE,2008,2009,3,3,78,258,4,1,106.5,125,143.5,0.12,0.13,0.2,1.2,0.02,0.14,0.17,1.05,0.52,0.01,1.2,NA,NA,16.18,0,0,0,0,0,0.33,1.67,0,37,543.33,8.67,0,0,0,0,0,0,148.7,174.45,200.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0.5,2.5,0,51.5,734.5,12.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Jermaine Gresham | Oklahoma,https://a.espncdn.com/i/headshots/college-football/players/full/188942.png,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
3125950,Jean Sifrin,Massachusetts,Mid-American,N,TE,2014,2015,3,1,79,NA,3,NA,99.7,120.2,140.7,0.15,0.17,0.22,1.29,0.01,0.18,0.2,1.45,0.72,0.01,1.29,0.79,53,15.54,0,0,0,0,0,0,0,0,41,637,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Jean Sifrin | Massachusetts,https://a.espncdn.com/i/headshots/college-football/players/full/3125950.png,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
382646,Darvin Adams,Auburn,SEC,Y,WR,2010,2011,3,3,75,NA,3,1,99.93,119.1,138.27,0.19,0.21,0.21,2.01,0.02,0.21,0.21,1.42,0.71,0.01,2.01,NA,NA,13.71,0,0,0,0,0,0,0,0,38.33,659.33,5.67,0,0,0,1.67,7,0,149,177,205,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,56,980,8.5,0,0,0,2.5,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Darvin Adams | Auburn,https://a.espncdn.com/i/headshots/college-football/players/full/382646.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
514480,Jace Amaro,Texas Tech,Big 12,Y,TE,2013,2014,3,3,77,NA,4,1,86.6,109.6,132.6,0.1,0.12,0.12,0.89,0.01,0.12,0.12,1.11,0.55,0,0.89,1.02,103,12.42,0,0,0,0,0,0,0,0,46,606,4.33,0,0,0,0,0,0,121.05,153.8,186.55,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,65.5,880.5,5.5,0,0,0,0,0,0,77,265,4.74,28,33,118,7.42,4.3,2,17,49,0,0,1,3.8,0,Jace Amaro | Texas Tech,https://a.espncdn.com/i/headshots/college-football/players/full/514480.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
4241263,Charlie Kolar,Iowa State,Big 12,Y,TE,2021,2022,5,4,78,260,3,1,89.02,110.02,131.02,0.15,0.16,0.25,1.28,0.01,0.18,0.21,1.27,0.64,0.01,1.28,1.02,46,12.93,0,0,0,0,0,0,0,0,42,545.25,5.75,0,0,0,0,0,0,108.13,134.3,160.47,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,52.33,681.33,6.67,0,0,0,0,0,0,79,252,NA,NA,NA,NA,NA,NA,4,23,128,0,0,0,2.4,NA,Charlie Kolar | Iowa State,https://a.espncdn.com/i/headshots/college-football/players/full/4241263.png,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
535145,Devin Funchess,Michigan,Big Ten,Y,WR,2014,2015,3,3,77,NA,4,1,87.93,108.93,129.93,0.21,0.23,0.31,1.63,0.01,0.24,0.27,1.41,0.71,0.01,1.64,0.62,41,14.23,0,0,0,0,0,2.67,7.67,0,42,571.67,5,0,0,0,0,0,0,83.8,99.8,115.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,3,17,0,32,491,5.5,0,0,0,0,0,0,76,232,NA,NA,NA,NA,NA,NA,2,9,41,0,0,0,0,NA,Devin Funchess | Michigan,https://a.espncdn.com/i/headshots/college-football/players/full/535145.png,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
384896,Ladarius Green,Louisiana,Sun Belt,N,TE,2011,2012,4,4,78,NA,2,1,88.53,107.15,125.78,0.16,0.18,0.28,1.36,0.01,0.2,0.23,1.28,0.64,0.01,1.37,NA,NA,14.69,0,0,0,0,0,0.25,5,0,37.25,550.25,5.5,0,0,0,0,0,0,110.6,136.1,161.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,1,20,0,51,606,8,0,0,0,0,0,0,78,238,4.45,16,34.5,124,7.12,4.47,4,15,110,0,0,1,2.8,0,Ladarius Green | Louisiana,https://a.espncdn.com/i/headshots/college-football/players/full/384896.png,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,N,TE,2021,2022,4,4,76,240,2,1,92,108.62,125.25,0.16,0.18,0.26,1.66,0.02,0.19,0.22,1.25,0.62,0.01,1.66,0.95,39.75,14.45,0,0,0,0,0,0.75,2.5,0,33.25,512.5,6.75,0.25,0.75,0,0,0,0,127.15,149.4,171.65,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,1.5,5,0,44.5,756.5,8.5,0,0,0,0,0,0,77,245,NA,NA,NA,NA,NA,NA,4,34,139,0,0,2,4.7,0,Isaiah Likely | Coastal Carolina,https://a.espncdn.com/i/headshots/college-football/players/full/4361050.png,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
177740,Garrett Graham,Wisconsin,Big Ten,Y,TE,2009,2010,3,3,75,NA,NA,1,81.73,101.9,122.07,0.2,0.18,0.38,1.47,0.02,0.22,0.28,1.09,0.54,0.01,1.47,NA,NA,12.22,0,0,0,0,0,0,0,0,40.33,497.33,5.33,0,0,0,0,0,0,81.73,101.9,122.07,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,0,0,0,40.33,497.33,5.33,0,0,0,0,0,0,75,243,4.71,20,34.5,112,7.09,4.35,4,20,118,0,1,1,2.6,1,Garrett Graham | Wisconsin,https://a.espncdn.com/i/headshots/college-football/players/full/177740.png,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
