athlete_id,player_id,Name,Team,Conference,Eligibility,Year.Out.Of.HS,Recruit.Stars,Height,Weight,Pos
4035827,"Damian Alloway, Florida Atlantic, WR",Damian Alloway,Florida Atlantic,Pac-12,2022,6,4,69,175,WR
4431514,"Daejon Reynolds, Florida, WR",Daejon Reynolds,Florida,SEC,2024,1,4,74,205,WR
4426524,"Kendall Abdur-Rahman, Western Kentucky, WR",Kendall Abdur-Rahman,Western Kentucky,Conference USA,2022,3,3,72,190,WR
4426856,"Malik Caper, Liberty, RB",Malik Caper,Liberty,FBS Independents,2022,3,3,72,240,RB
4568310,"Ty Evans, Texas State, QB",Ty Evans,Texas State,Sun Belt,2022,3,3,75,215,QB
4605869,"Terry Wilkins, Middle Tennessee, RB",Terry Wilkins,Middle Tennessee,Conference USA,2023,2,2,67,180,RB
4035508,"James Owens Moss, Auburn, WR",James Owens Moss,Auburn,SEC,2022,6,NA,70,191,WR
4362085,"Jarrett Smith, Texas, RB",Jarrett Smith,Texas,Big 12,2022,3,NA,67,202,RB
4569574,"Cooper Jewett, Nebraska, RB",Cooper Jewett,Nebraska,Big Ten,2022,3,NA,70,190,RB
4577747,"Cyrus Bonsu, UMass, RB",Cyrus Bonsu,UMass,FBS Independents,2022,3,NA,70,205,RB
4609042,"Ryan Razzano, Buffalo, RB",Ryan Razzano,Buffalo,Mid-American,2023,2,NA,70,195,RB
4685123,"Tank Smith, Penn State, RB",Tank Smith,Penn State,Big Ten,2023,2,NA,67,227,RB
4691125,"Matt Duncan, Temple, QB",Matt Duncan,Temple,American Athletic,2023,2,NA,73,215,QB
4432733,"Clay Millen, Nevada, QB",Clay Millen,Nevada,Mountain West,2024,1,3,NA,NA,QB
4875668,"Tyler Pape, Central Michigan, QB",Tyler Pape,Central Michigan,Mid-American,2023,2,3,76,210,QB
4360550,"Derek Green, SMU, QB",Derek Green,SMU,American Athletic,2022,3,NA,75,205,QB
4576173,"Joey Marousek, Akron, QB",Joey Marousek,Akron,Mid-American,2023,2,3,74,205,QB
4372601,"Darrius Smith, Arizona, RB",Darrius Smith,Arizona,Pac-12,2022,4,3,69,176,RB
4427299,"Damarius Good, UCF, RB",Damarius Good,UCF,American Athletic,2022,3,3,71,185,RB
4427511,"Travis Tisdale, Kentucky, RB",Travis Tisdale,Kentucky,SEC,2022,3,3,69,173,RB
4432276,"MyJaden Horton, Akron, QB",MyJaden Horton,Akron,Mid-American,2023,1,3,74,190,QB
4683536,"JJ Henry, Ole Miss, WR",JJ Henry,Ole Miss,SEC,2024,1,3,71,165,WR
4039469,"Anthony Thompson, Northern Illinois, QB",Anthony Thompson,Northern Illinois,Mid-American,2022,6,2,72,205,QB
4372013,"Braxton Barker, Alabama, QB",Braxton Barker,Alabama,SEC,2022,4,2,73,202,QB
4427960,"Terrell McDonald, UAB, QB",Terrell McDonald,UAB,Conference USA,2022,1,2,74,240,QB
4372176,"Josh Holl, Tulane, QB",Josh Holl,Tulane,American Athletic,2022,2,NA,73,200,QB
4385427,"Robert Cope, Ohio State, RB",Robert Cope,Ohio State,Big Ten,2022,3,NA,69,198,RB
4428858,"Cam Wiley, Minnesota, RB",Cam Wiley,Minnesota,Big Ten,2022,3,NA,74,210,RB
4569593,"Zach Weinmaster, Nebraska, RB",Zach Weinmaster,Nebraska,Big Ten,2022,3,NA,71,190,RB
4570471,"Kanoa Shannon, Oregon State, RB",Kanoa Shannon,Oregon State,Pac-12,2022,3,NA,68,184,RB
4573151,"Rob Fiorentino, Kansas, RB",Rob Fiorentino,Kansas,Big 12,2022,3,NA,70,199,RB
4692830,"Bradley Dunn, South Carolina, RB",Bradley Dunn,South Carolina,SEC,2023,2,NA,69,222,RB
4687005,"Natano Woods, San José State, QB",Natano Woods,San José State,Mountain West,2022,3,2,77,250,QB
4427949,"Clifton McDowell, Louisiana, QB",Clifton McDowell,Louisiana,Sun Belt,2022,2,3,75,211,QB
4683311,"Sam Vidlak, Oregon State, QB",Sam Vidlak,Oregon State,Pac-12,2024,1,3,NA,NA,QB
4429709,"Jamious Griffin, Georgia Tech, RB",Jamious Griffin,Georgia Tech,ACC,2022,3,4,70,218,RB
4361260,"Jason Whittaker, Northwestern, QB",Jason Whittaker,Northwestern,Big Ten,2022,4,3,77,222,QB
4427839,"Bryson Lucero, UAB, QB",Bryson Lucero,UAB,Conference USA,2022,3,3,73,210,QB
4568490,"RJ Harvey, Virginia, QB",RJ Harvey,Virginia,American Athletic,2022,1,3,68,190,QB
4686137,"Parker McNeil, Texas Tech, QB",Parker McNeil,Texas Tech,Sun Belt,2022,4,3,77,235,QB
4686519,"Stone Frost, Middle Tennessee, QB",Stone Frost,Middle Tennessee,Conference USA,2023,2,NA,70,217,QB
4691963,"Russian Williams, Liberty, RB",Russian Williams,Liberty,FBS Independents,2023,2,NA,66,160,RB
4699783,"Lucky Avinger, San Diego State, RB",Lucky Avinger,San Diego State,Mountain West,2023,2,NA,73,205,RB
4035995,"Jawon Pass, Louisville, QB",Jawon Pass,Louisville,ACC,2022,6,4,76,228,QB
4433886,"Tate Rodemaker, Florida State, QB",Tate Rodemaker,Florida State,ACC,2023,2,3,76,201,QB
4697122,"Gaston Moore, Tennessee, QB",Gaston Moore,Tennessee,SEC,2023,2,NA,74,200,QB
4240035,"Deonte Sheffield, Florida State, RB",Deonte Sheffield,Florida State,ACC,2022,5,3,71,214,RB
4426519,"Boone Abbott, Hawai'i, QB",Boone Abbott,Hawai'i,Mountain West,2022,3,3,74,190,QB
4427172,"Nick Fedanzo, Illinois, RB",Nick Fedanzo,Illinois,Big Ten,2022,3,3,72,200,RB
4427860,"Ta'Ron Madison, Oregon State, RB",Ta'Ron Madison,Oregon State,Pac-12,2022,3,3,73,201,RB
4430845,"Darvon Hubbard, Texas A&M, RB",Darvon Hubbard,Texas A&M,SEC,2023,2,3,72,210,RB
4431325,"Taylen Green, Boise State, QB",Taylen Green,Boise State,Mountain West,2024,1,3,78,213,QB
4570548,"Naricuss Driver, Southern Mississippi, TE",Naricuss Driver,Southern Mississippi,Conference USA,2022,5,3,75,266,TE
4595398,"Terence Fall, BYU, WR",Terence Fall,BYU,FBS Independents,2023,2,3,75,188,WR
4692557,"Dee Beckwith, Tennessee, RB",Dee Beckwith,Tennessee,SEC,2023,2,3,77,220,RB
4697663,"Javon Forward, Washington, TE",Javon Forward,Washington,Pac-12,2023,2,3,72,225,TE
4046743,"Grant Loy, Auburn, QB",Grant Loy,Auburn,SEC,2022,5,NA,76,226,QB
4427501,"Jeremy Hollingsworth, Wyoming, RB",Jeremy Hollingsworth,Wyoming,Mountain West,2022,3,NA,69,205,RB
4568422,"AJ Brown, Georgia Southern, RB",AJ Brown,Georgia Southern,Sun Belt,2022,3,NA,66,170,RB
4574571,"Brent Matiscik, TCU, TE",Brent Matiscik,TCU,Big 12,2022,3,NA,73,243,TE
4875793,"Nasjza Bryant, Hawai'i, RB",Nasjza Bryant,Hawai'i,Mountain West,2024,1,NA,70,210,RB
4875889,"Joah Flores, New Mexico, WR",Joah Flores,New Mexico,Mountain West,2024,1,NA,68,165,WR
4568155,"Gavin Beerup, Wyoming, QB",Gavin Beerup,Wyoming,Mountain West,2023,2,3,77,190,QB
4427681,"Nick Kargman, Western Michigan, QB",Nick Kargman,Western Michigan,Mid-American,2022,3,3,75,205,QB
4427729,"Demetrius Knight II, Georgia Tech, QB",Demetrius Knight II,Georgia Tech,ACC,2022,3,3,74,232,QB
4430950,"Jefferson Boaz, North Carolina, QB",Jefferson Boaz,North Carolina,ACC,2023,2,3,78,245,QB
4612078,"JaCobian Morgan, Syracuse, QB",JaCobian Morgan,Syracuse,ACC,2023,2,3,76,223,QB
4241290,"Jack Walker, Southern Mississippi, QB",Jack Walker,Southern Mississippi,Conference USA,2022,5,3,75,220,QB
4245111,"Darius Maberry, Southern Mississippi, RB",Darius Maberry,Southern Mississippi,Conference USA,2022,5,3,69,196,RB
4360973,"Trad Beatty, Georgia Tech, QB",Trad Beatty,Georgia Tech,ACC,2022,4,3,77,220,QB
4697993,"Rocko Griffin Jr., Vanderbilt, RB",Rocko Griffin Jr.,Vanderbilt,SEC,2023,1,3,NA,NA,RB
4246890,"Frank Boyd, Liberty, RB",Frank Boyd,Liberty,FBS Independents,2022,4,NA,71,200,RB
4259626,"Alex Roberts, Arkansas State, RB",Alex Roberts,Arkansas State,Sun Belt,2022,3,NA,67,166,RB
4266228,"Tommy Kujawa, Iowa, TE",Tommy Kujawa,Iowa,Big Ten,2022,5,NA,75,236,TE
4372756,"Leo Albano, Notre Dame, RB",Leo Albano,Notre Dame,FBS Independents,2022,4,NA,73,219,RB
4373014,"Brandon Bass, Baylor, QB",Brandon Bass,Baylor,Big 12,2022,4,NA,70,195,QB
4429444,"Josh Coltrin, Tulane, RB",Josh Coltrin,Tulane,American Athletic,2022,3,NA,73,205,RB
4568316,"DeMarcus Jones II, NC State, RB",DeMarcus Jones II,NC State,ACC,2022,3,NA,70,213,RB
4575718,"Kierston Harvey, Georgia State, QB",Kierston Harvey,Georgia State,Sun Belt,2022,2,NA,70,180,QB
4609151,"Josh Edwards, Arkansas State, RB",Josh Edwards,Arkansas State,Sun Belt,2023,2,NA,68,207,RB
4698130,"Phillip Cole, Ohio, WR",Phillip Cole,Ohio,Mid-American,2023,2,NA,68,160,WR
4874519,"Gunnar Gundy, Oklahoma State, QB",Gunnar Gundy,Oklahoma State,Big 12,2024,1,NA,74,205,QB
4429191,"Deuce Hogan, Iowa, QB",Deuce Hogan,Iowa,Big Ten,2023,2,3,76,212,QB
4429415,"Mikele Colasurdo, Georgia State, QB",Mikele Colasurdo,Georgia State,Sun Belt,2023,2,3,73,215,QB
4240094,"Micah Leon, Connecticut, QB",Micah Leon,Connecticut,American Athletic,2022,4,NA,77,215,QB
4575121,"Nathan Priestley, Georgia, QB",Nathan Priestley,Georgia,SEC,2022,3,2,76,205,QB
4428410,"Ontario Russell, Miami (OH), RB",Ontario Russell,Miami (OH),Mid-American,2022,3,3,71,217,RB
4567040,"Cameron Hite, Wake Forest, TE",Cameron Hite,Wake Forest,ACC,2022,3,3,75,236,TE
4569119,"Chris Herron, Kansas State, QB",Chris Herron,Kansas State,Big 12,2022,1,3,74,194,QB
4686514,"Bryce Bailey, Middle Tennessee, WR",Bryce Bailey,Middle Tennessee,Conference USA,2023,2,3,69,159,WR
4605866,"Darius Ocean, Western Kentucky, QB",Darius Ocean,Western Kentucky,Conference USA,2023,2,2,72,195,QB
4608846,"Tanner Hollens, Colorado State, RB",Tanner Hollens,Colorado State,Mountain West,2023,2,2,73,220,RB
4360951,"Preston Jelen, Minnesota, RB",Preston Jelen,Minnesota,Big Ten,2022,3,NA,70,210,RB
4365811,"Hamish McClure, Nevada, QB",Hamish McClure,Nevada,Mountain West,2022,3,NA,71,185,QB
4874627,"Nehemiah Martinez, Texas Tech, WR",Nehemiah Martinez,Texas Tech,Big 12,2024,1,NA,69,185,WR
4907955,"Jacob Drena, Connecticut, QB",Jacob Drena,Connecticut,American Athletic,2024,1,NA,NA,NA,QB
4429413,"Brendon Clark, Notre Dame, QB",Brendon Clark,Notre Dame,FBS Independents,2022,3,3,73,212,QB
4373230,"Ryan Rizk, Miami, QB",Ryan Rizk,Miami,ACC,2022,3,NA,73,196,QB
4692679,"Deondre Jackson, Texas A&M, RB",Deondre Jackson,Texas A&M,SEC,2023,2,3,71,230,RB
4259250,"Daniel Leconte, Florida Atlantic, RB",Daniel Leconte,Florida Atlantic,Conference USA,2022,4,NA,71,195,RB
4695223,"NA NA, TCU, WR","NA NA",TCU,Big 12,2023,2,NA,77,220,WR
