year,week,down,clock_minutes,pos_team,def_wp_before,pass,rush,name,conference,team_id,color,logo
2022,1,1,15,Hawai'i,0.6951813,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,15,Hawai'i,0.713955,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,3,15,Hawai'i,0.7434903,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,10,Vanderbilt,0.2356003,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,10,Vanderbilt,0.2533517,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,10,Vanderbilt,0.2100403,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,10,Vanderbilt,0.1942439,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,10,Vanderbilt,0.1692213,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,10,Vanderbilt,0.1737204,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,4,10,Vanderbilt,0.22976,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,6,Vanderbilt,0.1048151,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,5,Hawai'i,0.7815075,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,5,Hawai'i,0.9279244,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,3,5,Hawai'i,0.9268685,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,5,Hawai'i,0.8926736,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,5,Hawai'i,0.9024387,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,3,Vanderbilt,0.0784001,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,3,Vanderbilt,0.0777421,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,3,Vanderbilt,0.0709406,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,3,Vanderbilt,0.0591524,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,3,Vanderbilt,0.06351,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,3,3,Vanderbilt,0.0709179,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,4,0,Vanderbilt,0.0972196,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,0,Hawai'i,0.8660986,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,0,Hawai'i,0.8579482,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,0,Hawai'i,0.8871459,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,15,Vanderbilt,0.1147863,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,15,Vanderbilt,0.0676613,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,14,Vanderbilt,0.0641923,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,14,Hawai'i,0.9631516,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,14,Hawai'i,0.9545608,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,14,Hawai'i,0.9549066,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,14,Hawai'i,0.9405915,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,14,Hawai'i,0.9494179,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,3,14,Hawai'i,0.9426267,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,4,11,Hawai'i,0.9609403,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,11,Vanderbilt,0.0251299,1,0,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
