athlete_id,Player,Team,Conference,Power 5,Height,Weight,Stars,Position,Season,Class,Year out of HS,Year Played,Games Played,Standard Points,Half PPR Points,PPR Points,QBR,Yards Per Att,Adjusted Yds Per Att,Total Adj Net Yds Per Att,Completion Pct,Rush Yds MS,Rush TD MS,Rush EPA Share,EPA Per Play,Pass EPA Per Play,Rush EPA Per Play,Total EPA,Total Pass EPA,Total Rush EPA,Points Added,TD Rate,Int Rate,TD-Int Rate,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Rush Yds MS (Games Played),Rush TD MS (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
4258447,Christian Anderson,Army,FBS Independents,N,73,195,3,QB,2021,2022,5,5,11,158.4,158.4,158.4,NA,11.32,12.9,9.31,49.2,0.1697,0.1739,0.5,0.28,0.38,0.21,44,24,21,NA,0.0794,0,Inf,63,31,713,5,0,108,619,8,0,0,0,0,0,0,0,0,0,14.4,14.4,14.4,0.1901,0.1905,5.7,2.8,64.8,0.5,0,9.8,56.3,0.7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Christian Anderson | Army,https://a.espncdn.com/i/headshots/college-football/players/full/4258447.png,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
191344,Thaddeus Lewis,Duke,ACC,Y,73,NA,NA,QB,2007,2010,2,2,12,158.4,158.4,158.4,32.3,6.75,6.67,5.03,55.3,-0.1927,0.3333,NA,NA,NA,NA,NA,NA,NA,-42.8,0.0583,0.0278,2.0971,360,199,2430,21,10,96,-148,2,0,0,0,0,0,0,0,0,0,13.2,13.2,13.2,-0.1927,0.3333,30,16.6,202.5,1.8,0.8,8,-12.3,0.2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Thaddeus Lewis | Duke,https://a.espncdn.com/i/headshots/college-football/players/full/191344.png,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
184598,Aaron Opelt,Toledo,Mid-American,N,74,NA,2,QB,2009,2010,4,4,9,158.3,158.3,158.3,63.5,7.65,7.15,7.19,59,0.0855,0.1304,NA,NA,NA,NA,NA,NA,NA,16.1,0.0613,0.0383,1.6005,261,154,1997,16,10,30,164,3,0,0,0,0,0,0,0,0,0,17.6,17.6,17.6,0.1055,0.1765,29,17.1,221.9,1.8,1.1,3.3,18.2,0.3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Aaron Opelt | Toledo,https://a.espncdn.com/i/headshots/college-football/players/full/184598.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
237001,Dan Persa,Northwestern,Big Ten,Y,73,NA,3,QB,2011,2012,5,4,10,158.2,158.2,158.2,76.4,8,8.08,6.52,73.4,0.0148,0.04,NA,NA,NA,NA,NA,NA,NA,33.9,0.0572,0.0236,2.4237,297,218,2376,17,7,79,32,1,0,0,0,0,0,0,0,0,0,15.8,15.8,15.8,0.0213,0.0588,29.7,21.8,237.6,1.7,0.7,7.9,3.2,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Dan Persa | Northwestern,https://a.espncdn.com/i/headshots/college-football/players/full/237001.png,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
4034857,Patrick O'Brien,Washington,Pac-12,Y,77,245,4,QB,2019,2022,4,3,11,158,158,158,55.1,8.29,8.13,6.9,61.8,-0.0132,0.1111,0,0.32,0.35,0.02,126,126,1,15.1,0.0385,0.0207,1.8599,338,209,2803,13,7,63,-21,2,0,0,0,0,0,0,0,0,0,14.4,14.4,14.4,-0.0144,0.1176,30.7,19,254.8,1.2,0.6,5.7,-1.9,0.2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Patrick O'Brien | Washington,https://a.espncdn.com/i/headshots/college-football/players/full/4034857.png,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
4685201,Tanner McKee,Stanford,Pac-12,Y,78,230,4,QB,2021,2023,4,2,10,157.9,157.9,157.9,65.1,7.39,7.34,6.4,65.4,0.0076,0.3077,0,0.27,0.29,0.07,100,98,2,16.4,0.0476,0.0222,2.1441,315,206,2327,15,7,60,8,4,0,0,0,0,0,0,0,0,0,15.8,15.8,15.8,0.0096,0.3636,31.5,20.6,232.7,1.5,0.7,6,0.8,0.4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Tanner McKee | Stanford,https://a.espncdn.com/i/headshots/college-football/players/full/4685201.png,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
170700,Drew Willy,Buffalo,Mid-American,N,NA,NA,2,PRO,2007,2009,3,3,12,156.8,157.3,157.8,46.6,6.82,6.9,5.95,68.4,-0.0282,0.1111,NA,NA,NA,NA,NA,NA,NA,4,0.0398,0.0159,2.5031,377,258,2572,15,6,60,-44,2,1,-17,0,0,0,0,0,0,0,13.1,13.1,13.1,-0.0282,0.1111,31.4,21.5,214.3,1.2,0.5,5,-3.7,0.2,0.1,-1.4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Drew Willy | Buffalo,https://a.espncdn.com/i/headshots/college-football/players/full/170700.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
532480,Drew Hare,Northern Illinois,Mid-American,N,73,NA,2,QB,2015,2017,4,4,9,157.7,157.7,157.7,54.8,7.63,8.02,6.47,63.8,0.0947,0.0323,0.1,0.26,0.31,0.09,90,83,7,12.3,0.0545,0.0156,3.4936,257,164,1962,14,4,104,252,1,0,0,0,0,0,0,0,0,0,17.5,17.5,17.5,0.1353,0.04,28.6,18.2,218,1.6,0.4,11.6,28,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Drew Hare | Northern Illinois,https://a.espncdn.com/i/headshots/college-football/players/full/532480.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
4427455,Cade McNamara,Michigan,Big Ten,Y,73,206,4,QB,2021,2023,3,3,14,157.6,157.6,157.6,75.4,7.88,7.97,7.29,64.2,0.0087,0.0256,0,0.31,0.32,0.14,110,106,4,24.8,0.0459,0.0183,2.5082,327,210,2576,15,6,37,26,1,0,0,0,0,0,0,0,0,0,11.3,11.3,11.3,0.0087,0.0256,23.4,15,184,1.1,0.4,2.6,1.9,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Cade McNamara | Michigan,https://a.espncdn.com/i/headshots/college-football/players/full/4427455.png,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
4239937,Matt McDonald,Bowling Green,Mid-American,N,75,210,NA,QB,2021,2023,5,5,12,157.5,157.5,157.5,33.4,6.5,6.31,5.44,60.1,0.0106,0.2667,0.4,0.13,0.09,0.52,46,29,17,-13.7,0.0305,0.0178,1.7135,393,236,2555,12,7,80,13,4,0,0,0,0,0,0,0,0,0,13.1,13.1,13.1,0.0106,0.2667,32.8,19.7,212.9,1,0.6,6.7,1.1,0.3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Matt McDonald | Bowling Green,https://a.espncdn.com/i/headshots/college-football/players/full/4239937.png,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
